Our understanding of the pathogenesis of acne vulgaris is still evolving | Notre compréhension de la pathogenèse de l’acné vulgaire est encore en pleine évolution  
It is known that multiple factors impact acne pathophysiology, including genetic, hormonal, inflammatory, and environmental influences | On sait que de multiples facteurs influent sur la physiopathologie de l’acné, notamment des facteurs génétiques, hormonaux, inflammatoires et environnementaux 
Because of its implications in many of these factors, diet has been a part of the acne discussion for decades | En raison de son implication dans bon nombre de ces facteurs, l’alimentation fait partie des débats sur l’acné depuis des décennies 
Several studies have evaluated the significance of the glycemic index of various foods and glycemic load in patients with acne, demonstrating individuals with acne who consume diets with a low glycemic load have reduced acne lesions compared with individuals on high glycemic load diets | Plusieurs études ont évalué l’importance de l’indice glycémique de divers aliments et de la charge glycémique chez les patients atteints d’acné, démontrant que les personnes souffrant d’acné qui suivent un régime à faible charge glycémique présentent moins de lésions acnéiques que celles suivant un régime à forte charge glycémique 
Dairy has also been a focus of study regarding dietary influences on acne; whey proteins responsible for the insulinotropic effects of milk may contribute more to acne development than the actual fat or dairy content | Les produits laitiers ont également fait l’objet d’études concernant l’influence de l’alimentation sur l’acné ; les protéines de lactosérum, responsables des effets insulinotropes du lait, pourraient contribuer davantage au développement de l’acné que la teneur réelle en matières grasses ou en produits laitiers 
Other studies have examined the effects of omega-3 fatty acid and γ-linoleic acid consumption in individuals with acne, showing individuals with acne benefit from diets consisting of fish and healthy oils, thereby increasing omega-3 and omega-6 fatty acid intake | D’autres études ont examiné les effets de la consommation d’acides gras oméga-3 et d’acide γ-linoléique chez les personnes souffrant d’acné, montrant que ces dernières tirent profit d’une alimentation comprenant du poisson et des huiles saines, ce qui augmente l’apport en acides gras oméga-3 et oméga-6 
Recent research into the effects of probiotic administration in individuals with acne present promising results; further study of the effects of probiotics on acne is needed to support the findings of these early studies | Des recherches récentes sur les effets de l’administration de probiotiques chez les personnes souffrant d’acné présentent des résultats prometteurs ; des études supplémentaires sur les effets des probiotiques sur l’acné sont nécessaires pour étayer les conclusions de ces premières études 
In this review, we discuss the current evidence regarding the diets of US patients with acne and how they may impact acne and acne treatment | Dans cette revue, nous examinons les données actuelles concernant l’alimentation des patients américains atteints d’acné et la manière dont celle-ci peut influencer l’acné et son traitement 
Acne vulgaris is one of the most common dermatologic conditions globally [1, 2] | L’acné vulgaire est l’une des affections dermatologiques les plus courantes à l’échelle mondiale [1, 2] 
Unlike our knowledge regarding the heritable nature of acne and the role of hormones in acne pathogenesis, there is uncertainty regarding the role of environmental factors, including diet, in acne [3–5] | Contrairement à nos connaissances sur la nature héréditaire de l’acné et le rôle des hormones dans sa pathogenèse, des incertitudes subsistent quant au rôle des facteurs environnementaux, notamment l’alimentation, dans l’acné [3–5] 
The development of acne in some populations after the adoption of a Western diet suggests that the latter plays a role in acne | L’apparition de l’acné dans certaines populations après l’adoption d’un régime alimentaire occidental suggère que ce dernier joue un rôle dans l’acné 
Certain populations did not historically have acne: the Canadian Inuit, South African Zulus, Japanese Okinawans, Aché of Paraguay, and Kitavan islanders of Papua New Guinea | Certaines populations ne souffraient historiquement pas d’acné : les Inuits du Canada, les Zoulous d’Afrique du Sud, les habitants d’Okinawa au Japon, les Aché du Paraguay et les insulaires de Kitavan en Papouasie-Nouvelle-Guinée 
The appearance of acne in these groups has been attributed to their acceptance of Western diets, including processed foods, dairy, and refined sugars [6] | L’apparition de l’acné au sein de ces groupes a été attribuée à leur adoption de régimes alimentaires occidentaux, comprenant des aliments transformés, des produits laitiers et des sucres raffinés [6] 
Acne is also absent in adolescents with Laron syndrome, an hereditary dwarfism disorder resulting from insensitivity to growth hormone [7] | L’acné est également absente chez les adolescents atteints du syndrome de Laron, un trouble héréditaire de nanisme résultant d’une insensibilité à l’hormone de croissance [7] 
However, some do develop acne if treatment with insulin-like growth factor (IGF-1) is undertaken | Cependant, certains développent de l’acné si un traitement par le facteur de croissance analogue à l’insuline (IGF-1) est entrepris 
Acne resolves when IGF-1 dosing is reduced or discontinued | L’acné disparaît lorsque la posologie d’IGF-1 est réduite ou arrêtée 
Here, we examine how diet may influence acne pathogenesis, persistence, and treatment | Nous examinons ici comment l’alimentation peut influencer la pathogenèse, la persistance et le traitement de l’acné 
To perform the literature search for this review, PubMed and MEDLINE were queried with combinations including but not limited to the following search terms: isotretinoin, diet and acne, glycemic index (GI) and acne, dairy and acne, and acne pathophysiology | Pour effectuer la recherche bibliographique dans le cadre de cette revue, des requêtes ont été lancées sur PubMed et MEDLINE à l’aide de combinaisons de termes de recherche comprenant, sans s’y limiter, les suivants : isotrétinoïne, alimentation et acné, indice glycémique (IG) et acné, produits laitiers et acné, et physiopathologie de l’acné 
A review of search results was performed for dates from 1977 to 2020, and relevant articles were selected | Les résultats de la recherche ont été passés en revue pour la période allant de 1977 à 2020, et les articles pertinents ont été sélectionnés 
Because of the limited number of studies available, clinical studies and review articles were included if they contained information relevant to the review topic | En raison du nombre limité d’études disponibles, les études cliniques et les articles de synthèse ont été inclus s’ils contenaient des informations pertinentes pour le sujet de cette revue.
